animal,group,date,dpi,dpe,nasal,serum,score,temp
BR23-17,donor,2023-06-26,0,0,ND,ND,0,38.8
BR23-17,donor,2023-06-27,1,1,ND,ND,0,38.9
BR23-17,donor,2023-06-28,2,2,3.706998814,6.014234875,0,38.1
BR23-17,donor,2023-06-29,3,3,8.158362989,7.253855279,0,39.6
BR23-17,donor,2023-06-30,4,4,9.513641756,7.476275208,3,41.2
BR23-17,donor,2023-07-01,5,5,9.077698695,4.31198102,5,38.6
BR23-18,donor,2023-06-26,0,0,ND,ND,0,38.8
BR23-18,donor,2023-06-27,1,1,5.806642942,ND,0,38.3
BR23-18,donor,2023-06-28,2,2,6.411625148,ND,0,38.3
BR23-18,donor,2023-06-29,3,3,6.803084223,5.791814947,0,39.6
BR23-18,donor,2023-06-30,4,4,7.236061684,6.785290629,1,40.2
BR23-18,donor,2023-07-01,5,5,9.424673784,6.349347568,3,39.2
BR23-19,Group 1,2023-06-27,NA,0,ND,ND,0,38.5
BR23-19,Group 1,2023-06-28,NA,1,ND,ND,NA,38.2
BR23-19,Group 1,2023-06-29,NA,2,ND,ND,NA,38.4
BR23-19,Group 1,2023-06-30,NA,3,ND,ND,0,38.6
BR23-19,Group 1,2023-07-01,NA,4,ND,ND,NA,38.3
BR23-19,Group 1,2023-07-02,NA,5,ND,ND,0,38.7
BR23-19,Group 1,2023-07-03,NA,6,NA,NA,NA,38.4
BR23-19,Group 1,2023-07-04,NA,7,ND,ND,0,38.3
BR23-19,Group 1,2023-07-05,NA,8,NA,NA,NA,38.1
BR23-19,Group 1,2023-07-06,NA,9,NA,NA,NA,NA
BR23-19,Group 1,2023-07-07,NA,10,ND,ND,0,NA
BR23-19,Group 1,2023-07-08,NA,11,NA,NA,NA,NA
BR23-19,Group 1,2023-07-09,NA,12,NA,NA,NA,NA
BR23-19,Group 1,2023-07-10,NA,13,NA,NA,NA,NA
BR23-19,Group 1,2023-07-11,NA,14,ND,ND,NA,NA
BR23-20,Group 1,2023-06-27,NA,0,ND,ND,0,38.4
BR23-20,Group 1,2023-06-28,NA,1,ND,ND,NA,38.3
BR23-20,Group 1,2023-06-29,NA,2,ND,ND,NA,38.1
BR23-20,Group 1,2023-06-30,NA,3,ND,ND,0,38.9
BR23-20,Group 1,2023-07-01,NA,4,ND,ND,NA,38.5
BR23-20,Group 1,2023-07-02,NA,5,ND,ND,0,38.8
BR23-20,Group 1,2023-07-03,NA,6,NA,NA,NA,38.3
BR23-20,Group 1,2023-07-04,NA,7,ND,ND,0,38.6
BR23-20,Group 1,2023-07-05,NA,8,NA,NA,NA,38.7
BR23-20,Group 1,2023-07-06,NA,9,NA,NA,NA,NA
BR23-20,Group 1,2023-07-07,NA,10,ND,ND,0,NA
BR23-20,Group 1,2023-07-08,NA,11,NA,NA,NA,NA
BR23-20,Group 1,2023-07-09,NA,12,NA,NA,NA,NA
BR23-20,Group 1,2023-07-10,NA,13,NA,NA,NA,NA
BR23-20,Group 1,2023-07-11,NA,14,ND,ND,NA,NA
BR23-21,Group 1,2023-06-27,NA,0,ND,ND,0,38.5
BR23-21,Group 1,2023-06-28,NA,1,ND,ND,NA,38.2
BR23-21,Group 1,2023-06-29,NA,2,ND,ND,NA,38.5
BR23-21,Group 1,2023-06-30,NA,3,ND,ND,0,38.6
BR23-21,Group 1,2023-07-01,NA,4,ND,ND,NA,38.6
BR23-21,Group 1,2023-07-02,NA,5,ND,ND,0,38.7
BR23-21,Group 1,2023-07-03,NA,6,NA,NA,NA,38.6
BR23-21,Group 1,2023-07-04,NA,7,ND,ND,0,38.5
BR23-21,Group 1,2023-07-05,NA,8,NA,NA,NA,38.8
BR23-21,Group 1,2023-07-06,NA,9,NA,NA,NA,NA
BR23-21,Group 1,2023-07-07,NA,10,ND,ND,0,NA
BR23-21,Group 1,2023-07-08,NA,11,NA,NA,NA,NA
BR23-21,Group 1,2023-07-09,NA,12,NA,NA,NA,NA
BR23-21,Group 1,2023-07-10,NA,13,NA,NA,NA,NA
BR23-21,Group 1,2023-07-11,NA,14,ND,ND,NA,NA
BR23-22,Group 1,2023-06-27,NA,0,ND,ND,0,38.6
BR23-22,Group 1,2023-06-28,NA,1,ND,ND,NA,37.8
BR23-22,Group 1,2023-06-29,NA,2,ND,ND,NA,38.6
BR23-22,Group 1,2023-06-30,NA,3,ND,ND,0,38.7
BR23-22,Group 1,2023-07-01,NA,4,ND,ND,NA,38.8
BR23-22,Group 1,2023-07-02,NA,5,ND,ND,0,39.0
BR23-22,Group 1,2023-07-03,NA,6,NA,NA,NA,38.6
